,predicted dendrite,real dendrite,ephys predicted creline,real creline,real e-type,ephys e-type predictions,real m-type,real me-type,ephys m-type predictions,ephys me-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
37,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,535708196,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
38,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,510702304,,,,,,
39,spiny,spiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,579611637,,,,,,
40,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Inh_6,Spiny_14,ME_Exc_1,Spiny_1,ME_Exc_7,329241587,,,,,,
41,aspiny,aspiny,Chrna2-Cre_OE25,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,Exc_1,Exc_1,,,Spiny_1,ME_Exc_7,586073683,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
42,spiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,327997484,,,,,,
43,aspiny,aspiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_13,Exc_1,Aspiny_7,ME_Inh_16,Spiny_1,ME_Exc_7,487352877,,,,,,
44,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,526951157,,,,,,
45,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,Spiny_2,ME_Exc_15,Spiny_1,ME_Exc_7,481096407,,,,,,
46,spiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,475625477,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
47,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,510706277,,,,,,
48,aspiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Exc_1,Exc_1,Spiny_12,ME_Exc_3,Spiny_1,ME_Exc_7,558675895,,,,,,
49,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Inh_5,,,Spiny_15,ME_Exc_7,582641339,,,,,,
50,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,320639930,,,,,,
51,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_6,Exc_1,,,Spiny_15,ME_Exc_7,576046210,,,,,,
52,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,478888052,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
53,spiny,spiny,Chrna2-Cre_OE25,Esr2-IRES2-Cre-neo,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,560373629,,,,,,
54,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_11,Inh_6,Aspiny_9,ME_Inh_13,Spiny_1,ME_Exc_7,487664663,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
55,spiny,spiny,Chrna2-Cre_OE25,Glt25d2-Cre_NF107,Inh_9,Exc_1,Aspiny_8,ME_Inh_8,Spiny_1,ME_Exc_7,572798509,,,,,,
56,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,486941367,,,,,,
57,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,554807924,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
58,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,487664070,,,,,,
59,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_2,Inh_6,,,Spiny_1,ME_Exc_7,478499902,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
60,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,490267468,,,,,,
61,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,522696638,,,,,,
62,aspiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,478586295,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_2
63,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,502120615,,,,,,
64,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,503866640,,,,,,
65,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,485630699,,,,,,
66,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_3,Exc_1,Spiny_8,ME_Exc_13,Spiny_1,ME_Exc_7,491029832,,,,,,
67,spiny,spiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Exc_2,Inh_6,,,Spiny_1,ME_Exc_7,565871856,,,,,,
68,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,522147522,,,,,,
69,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Inh_6,Spiny_5,ME_Exc_20,Spiny_1,ME_Exc_7,486196663,,,,,,
70,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,510715606,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
71,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_1,Exc_1,,,Spiny_1,ME_Exc_7,569723367,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
72,spiny,spiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,556356342,,,,,,
73,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Exc_1,Spiny_11,ME_Exc_6,Spiny_1,ME_Exc_7,479508018,,,,,,
74,aspiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,490171952,,,,,,
75,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_6,Exc_1,,,Spiny_1,ME_Exc_7,504120613,,,,,,
76,aspiny,aspiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Inh_5,,,Spiny_15,ME_Exc_11,557859579,,,,,,
77,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Inh_12,Exc_1,,,Spiny_15,ME_Exc_7,584561230,,,,,,
78,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,Spiny_7,ME_Exc_17,Spiny_1,ME_Exc_7,553541110,,,,,,
79,aspiny,aspiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_3,Inh_5,Spiny_19,ME_Exc_9,Spiny_15,ME_Exc_7,556922061,,,,,,
80,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_15,ME_Exc_7,522408506,,,,,,
81,aspiny,aspiny,Chrna2-Cre_OE25,Nkx2-1-CreERT2,Inh_10,Exc_1,,,Spiny_1,ME_Exc_7,606346614,,,,,,
82,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg2-Cre,Inh_8,Exc_1,Aspiny_12,ME_Inh_9,Spiny_1,ME_Exc_7,325464516,,,,,,
83,spiny,spiny,Chrna2-Cre_OE25,Tlx3-Cre_PL56,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,595511209,,,,,,
84,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Inh_2,Inh_6,,,Spiny_1,ME_Exc_7,321893798,,,,,,
85,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,478958894,,,,,,
86,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_4,Exc_1,Spiny_12,ME_Exc_1,Spiny_1,ME_Exc_7,599434799,,,,,,
87,aspiny,sparsely spiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,580236419,,,,,,
88,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,482521571,,,,,,
89,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_10,Inh_6,,,Spiny_1,ME_Exc_7,485837504,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
90,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_12,Inh_6,Aspiny_19,ME_Inh_9,Spiny_1,ME_Exc_7,479766169,,,,,,
91,aspiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Exc_3,Inh_5,,,Aspiny_4,ME_Exc_7,395851985,,,,,,
92,spiny,spiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Inh_6,Spiny_3,ME_Exc_17,Spiny_1,ME_Exc_7,479010903,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
93,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,Spiny_4,ME_Exc_16,Spiny_15,ME_Exc_11,587055109,,,,,,
94,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Exc_1,Inh_6,,,Spiny_1,ME_Exc_7,477930684,,,,,,
95,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,497590510,,,,,,
96,spiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_8,Inh_6,,,Spiny_1,ME_Exc_7,513877604,,,,,,
97,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_4,Exc_1,,,Spiny_1,ME_Exc_7,488770805,,,,,,
98,spiny,aspiny,Chrna2-Cre_OE25,Esr2-IRES2-Cre,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,581394360,,,,,,
99,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_3,Inh_6,Aspiny_18,ME_Inh_18,Spiny_1,ME_Exc_7,471141261,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
100,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Exc_1,Inh_6,,,Spiny_1,ME_Exc_7,322297406,,,,,,
101,spiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,328015342,,,,,,
102,spiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,558474375,,,,,,
103,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,488707768,,,,,,
104,aspiny,spiny,Chrna2-Cre_OE25,Scnn1a-Tg3-Cre,Inh_11,Inh_6,,,Spiny_1,ME_Exc_7,314900022,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
105,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,512322162,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
106,aspiny,aspiny,Chrna2-Cre_OE25,Sst-IRES-Cre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,313862167,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
107,aspiny,aspiny,Chrna2-Cre_OE25,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,585832440,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_4
108,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_7,Inh_6,,,Spiny_1,ME_Exc_7,313860745,,,,,,
109,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,502999078,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
110,aspiny,aspiny,Chrna2-Cre_OE25,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,Inh_4,Exc_1,,,Spiny_1,ME_Exc_7,596808442,,,,,,
111,aspiny,aspiny,Chrna2-Cre_OE25,Vipr2-IRES2-Cre,Exc_4,Exc_1,,,Spiny_1,ME_Exc_7,573404307,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
112,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,481004298,,,,,,
113,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_3,Exc_1,,,Spiny_1,ME_Exc_7,476049169,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_14,Inh_2
114,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_10,Inh_6,,,Spiny_1,ME_Exc_7,329554301,,,,,,
115,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Exc_1,Exc_1,,,Spiny_1,ME_Exc_7,488689365,,,,,,
116,spiny,spiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,596282602,,,,,,
117,aspiny,aspiny,Chrna2-Cre_OE25,Chat-IRES-Cre-neo,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,583142588,,,,,,
118,spiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,557673526,,,,,,
119,aspiny,spiny,Chrna2-Cre_OE25,Ndnf-IRES2-dgCre,Exc_2,Exc_1,,,Spiny_1,ME_Exc_7,557202210,,,,,,
120,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,480351780,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
121,spiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Inh_1,Inh_6,,,Spiny_1,ME_Exc_7,556669671,,,,,,
122,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,Spiny_4,ME_Exc_17,Spiny_1,ME_Exc_7,485570335,,,,,,
123,aspiny,aspiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,569457730,,,,,,
124,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152|Pvalb-T2A-Dre,Inh_10,Exc_1,Aspiny_8,ME_Inh_14,Spiny_1,ME_Exc_7,580162374,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
125,spiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_8,Inh_6,,,Spiny_1,ME_Exc_7,488448839,,,,,,
126,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,386049446,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
127,spiny,spiny,Chrna2-Cre_OE25,Nr5a1-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,397353539,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_6
128,aspiny,spiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_15,ME_Exc_5,561792152,,,,,,
129,spiny,spiny,Chrna2-Cre_OE25,Oxtr-T2A-Cre,Inh_2,Inh_6,,,Spiny_1,ME_Exc_7,580257315,,,,,,
130,spiny,sparsely spiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,591748519,,,,,,
131,spiny,spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,497499510,,,,,,
132,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,571314481,,,,,,
133,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,501895840,,,,,,
134,spiny,spiny,Chrna2-Cre_OE25,Rbp4-Cre_KL100,Inh_3,Inh_6,,,Spiny_1,ME_Exc_7,490733962,,,,,,
135,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,501570114,,,,,,
136,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,477879512,,,,,,
137,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,475585413,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
138,aspiny,spiny,Chrna2-Cre_OE25,Ntsr1-Cre_GN220,Inh_6,Exc_1,Aspiny_2,ME_Inh_24,Spiny_1,ME_Exc_7,488688344,,,,,,
139,aspiny,sparsely spiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,591622050,,,,,,
140,spiny,spiny,Chrna2-Cre_OE25,Cux2-CreERT2,Inh_9,Inh_6,Aspiny_8,ME_Inh_8,Spiny_1,ME_Exc_7,485887209,,,,,,
141,spiny,spiny,Chrna2-Cre_OE25,Rorb-IRES2-Cre,Inh_3,Inh_6,Aspiny_16,ME_Inh_3,Spiny_1,ME_Exc_7,467357834,,,,,,
142,aspiny,aspiny,Chrna2-Cre_OE25,Pvalb-IRES-Cre,Exc_4,Exc_1,Spiny_13,ME_Exc_1,Spiny_1,ME_Exc_7,491038812,,,,,,
143,spiny,spiny,Chrna2-Cre_OE25,Ctgf-T2A-dgCre,Inh_1,Exc_1,,,Spiny_1,ME_Exc_7,510106222,,,,,,
144,aspiny,sparsely spiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Inh_1,Inh_5,,,Spiny_15,ME_Exc_5,522416880,,,,,,
145,aspiny,spiny,Chrna2-Cre_OE25,Sim1-Cre_KJ18,Inh_13,Exc_1,,,Spiny_1,ME_Exc_7,557679003,,,,,,
146,aspiny,aspiny,Chrna2-Cre_OE25,Vip-IRES-Cre,Exc_1,Inh_5,,,Spiny_15,ME_Exc_7,565213849,,,,,,
147,aspiny,aspiny,Chrna2-Cre_OE25,Htr3a-Cre_NO152,Exc_3,Exc_1,Spiny_14,ME_Exc_1,Spiny_1,ME_Exc_7,569286299,,,,,,
148,spiny,spiny,Chrna2-Cre_OE25,Esr2-IRES2-Cre,Exc_3,Inh_6,,,Spiny_1,ME_Exc_7,567431416,,,,,,
149,aspiny,aspiny,Chrna2-Cre_OE25,Chrna2-Cre_OE25,Exc_3,Exc_1,,,Spiny_1,ME_Exc_7,569960365,,,,,,
150,aspiny,aspiny,Chrna2-Cre_OE25,Nos1-CreERT2|Sst-IRES-FlpO,Exc_2,Inh_6,,,Spiny_1,ME_Exc_7,547616623,,,,,,
